author,updated_at,like_count,text,public
@Pilkie101,2024-04-15T10:01:30Z,1,I personally find it very brave that somebody finally tackled this subject through the medium of film.,True
@WildImgination,2024-04-15T09:46:25Z,1,Like Israelis,True
@uffu2490,2024-04-15T02:02:59Z,0,Currently watching this and it’s horrifying. The fact that the director portrays Höss in a normal manner should frighten everyone.,True
@Robert-vw3od,2024-04-14T21:45:47Z,1,Glazer is one of the very best British creators . Everything has a message. Everything is about humanity.,True
@beazjohnson9865,2024-04-14T10:25:40Z,1,That last song is still giving me nightmares,True
@AshKetchumfromPalletTown,2024-04-14T00:55:37Z,1,Song?,True
@Nopeeeeee24,2024-04-14T00:31:41Z,1,How did Germans casually live life outside when it smelled like death everywhere in the air….,True
@dudoklasovity2093,2024-04-13T19:21:22Z,1,Family with just a normal life…..but not really…,True
@garrettj6838,2024-04-13T19:08:38Z,1,Had to prepare myself for this one. Literally felt out of breath watching this. The score was unbelievably powerful. Wow 🤯,True
@RAMartini,2024-04-13T13:07:59Z,0,Wow. A brilliant look into terrible humans that we are.,True
@louisefrance9967,2024-04-12T22:58:48Z,0,Looks like no zone of interest whatsoever!  Definitely give this one a miss,True
@caseherc5991,2024-04-12T03:39:46Z,3,"My opinion,  this movie 🎬 is flat, like flat soda, like eating cereal but the milk is warm and you just want to spit it out, kinda like opening a piece of gum and you start cholewing it just to find out its flavorless gum",True
@areyoutheregoditsmedave,2024-04-11T18:29:25Z,4,this is stock feed for midwits.,True
@LegendaryBrandon1,2024-04-09T16:34:30Z,2,"""AnOtHer WoKe MoVie""",True
@Vulkurt,2024-04-09T13:06:39Z,0,"I have been waiting for information about the Blu-ray or 4K release of this film, but there has been no news.  Can someone please update when a physical copy will be available?  Thank you.",True
@LazerbeamW,2024-04-09T05:28:33Z,4,This was the most boring movie I ever did watch,True
@omahadadbod,2024-04-08T16:05:27Z,0,"If I had to give my honest opinion about The Zone of Interest, I'd have to say that I actually liked it. This might come as a surprise to some, considering my usual disdain for ... pretty much everything. But there was something about this film that resonated with me on a deeper level. The raw, unfiltered portrayal of such dark subject matter is refreshing in a sea of sanitized Hollywood. Overall, it's a thought-provoking and moving piece of cinema that stays with you long after the credits roll. It's not an easy watch, but it's an important one.",True
@fairuzmaileen5691,2024-04-08T12:45:10Z,0,"Just watched it... was interesting. The visuals where everything is understood without explanations or verbal narrative was really good.  Never was made a movie through this perspective and it makes it original. The way how a ""boss""  from millitia would speak of people, like ""casualties"", using codes and all that is something happening in all wars, and it gives a brief comprehension on how you need disassociation from reality in order to accomplish the most cruel orders against strangers, dehumanized in every way... movie even had an unexpectedly funny scene almost at the end😂",True
@solsol7428,2024-04-08T06:19:07Z,2,Malísima.esta película,True
@TheFoxFromSplashMountain,2024-04-08T05:16:35Z,2,"Seeing a family living a normal life, children playing, having birthday parties etc. while one of the most horrific atrocities in history was happening just a few feet away really put into perspective how normalized the Holocaust and the hatred of Jews was at the time. Terrifying.",True
@uterauch3433,2024-04-07T18:32:02Z,0,"Complicity of humans...oh NO .
Only animals behaviour...of these alienated  beings.😮😢😮😢",True
@omargutierrez9521,2024-04-07T16:32:11Z,7,Free Palestine,True
@santiagoalberomartinez3995,2024-04-07T13:31:52Z,0,Buena película JUDIA,True
@aysutalks8216,2024-04-07T09:03:36Z,1,"A contemporary film ,,lets talk anout that",True
@Evil_Pixl,2024-04-07T05:16:33Z,1,One of the best movies I've seen.,True
@ckok7792,2024-04-06T21:16:42Z,0,"I do not think I can watch this one, although it’s probably a great movie.  Working with little children at my job and how I grew to love them and these monsters who did terrible things to them.  Their own children to boot.  Absolutely awful.",True
@thenobullshtchannel8768,2024-04-06T01:50:41Z,1,Zieg!  ☠️,True
@Xixbalba,2024-04-06T01:29:06Z,2,Just watched this film. This is the most uneasy I’ve felt in a long time…,True
@ONLYGOODleftistisaDEADleftist,2024-04-05T23:52:52Z,1,Perhaps we could adopt this solution for leftists in America?,True
@fasthracing,2024-04-05T09:43:42Z,0,"Watched it last night. Along with Downfall, Saving Private Ryan possibly the best film about WW2. IMO",True
@user-cb9je6oj7u,2024-04-05T02:54:20Z,0,"And as it is appointed unto men once to die, but after this the judgment: (Heb 9:27)
For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows. (1 Timothy 6:10)
And whosoever was not found written in the book of life was cast into the lake of fire. (Revelation 20:15)
For what shall it profit a man, if he shall gain the whole world, and lose his own soul? (Mark 8:36)",True
@n.stiller146,2024-04-04T18:56:24Z,2,"Save yourself some money nothing ,I mean nothing happens in this movie besides seeing his wife and kids in the house or pool ..end of story...it was so disappointing.",True
@anonyym5050,2024-04-04T12:10:34Z,2,Saw this movie yesterday and it was super boring. There are many other better Nazi movies. I can understand that they didn't want to show bloody scenes and the jews etc. but you could create such good pictures with the contrast of the house and the camp and also some nice sounds / music score etc. It not really interesting. Sorry.,True
@WhatsInAName718,2024-04-03T20:09:53Z,4,"Is it just me, or was this the most pointless movie you've ever watched? I don't get it... nothing happens. It's just a boring family, a dude with an ungrateful bitch of a wife who wants to go to a spa, so he decides to let some other girl suck his dick (I assume, as we don't even see THAT much), and then he gets transferred, throws up a bit and then ends. 

The final scene showing the shoes of those lost on display showed the scale of the holocaust, but that could have been the front cover of the movie and not bothered with the motion picture. The only reason this movie has 7/10 on IMDB is because it would be offensive to give it the 1/10 it deserves due to it's nature and would result in the critics and any affiliates being cancelled. 

I think this movie is as bad as the events it tried to depict.",True
@ximboximbo,2024-04-03T19:58:05Z,0,Katastrophe,True
@angieelzalaf6819,2024-04-03T13:52:09Z,4,I absolutely hated this movie.,True
@user-yr8ui7oy9h,2024-04-03T10:34:25Z,1,Endlich wieder ein guter Nazifilm aus Deutschland.😏,True
@TommyLikeTom,2024-04-02T09:31:24Z,2,"I just watched this film and while it is interesting nothing actually happens in it, and the result is kind of a nothing-burger",True
