author,updated_at,like_count,text,public
@h.p.beutler5896,2023-05-28T06:17:33Z,4,"a other one of this triste finn noire film  but you can only make triste films in this country but when you  are happy with unhappiness boredom, lonlyness, alkohol come to finnland wy people love this ,,,,,,, even aki lives in portugal in winter there is only one good film  from this family  and this is helsinki - napoli this we need more of pl",True
@mainiotaainetta,2023-05-27T22:12:40Z,4,I can see how it is made to appeal the french,True
@jannealatalo,2023-05-27T21:52:49Z,75,Art! Looks like every shot is really well thought - lights and colors.,True
@giovannisantopietro2612,2023-05-27T19:56:20Z,2,Anyone knows the Song?,True
@tongspektakel9501,2023-05-27T05:08:15Z,8,"The rest is love and humanity, homage to Aki and Ken loach ⚒️✊✌️🌐",True
@akiraperu1,2023-05-27T02:52:39Z,37,"i like how in most kaurismaki movies finland looks like a poor country but when you see docs about the country it looks like a cool place to live, kinda boring, but safe and quite",True
@martimusichannel,2023-05-23T16:28:08Z,15,forget the rest Aki is the man.,True
@Dadadadam999,2023-05-23T13:19:36Z,1,Where can i watch this?,True
@mikrokupu,2023-05-23T05:24:52Z,4,I wish Kaurismäki had finally brought something new instead of recycling the same overused clichés,True
@laurasilci9691,2023-05-22T18:21:34Z,9,Bentornato Aki! ❤,True
@rendroaryo5387,2023-05-21T05:52:22Z,3,💙,True
@MariePo100,2023-05-19T12:04:03Z,2,yes,True
@etikgraphy,2023-05-18T21:49:02Z,7,Yılın en iyisi olacakkkkk... ALTIN PALMİYEEEEEEE GELİYORRR,True
@user-ng8de3dp6e,2023-05-17T16:39:07Z,10,Kaurismaki:; this MUST be great !!,True
@Lappillainen,2023-05-13T14:50:23Z,0,"Luonnotonta Kirjakieltä, tupakinsavua, kaljakuppiloita... Tuubaa.",True
@84paratize,2023-05-13T14:38:56Z,84,"Yep, definitely looks like an Aki film!",True
@miodagsaan,2023-05-11T10:44:19Z,7,palme d'or + palm dog for sure,True
@12123444214DSFG,2023-05-11T08:27:47Z,222,"Finally, the king is back ❤",True
@kazman_6899,2023-05-10T21:36:57Z,7,"Seen one Kaurismaki, seen them all",True
@hansvongruber3214,2023-05-10T20:00:34Z,25,I would love to hear when Fallen Leaves is released in the U.S.,True
@Mirrori,2023-05-10T15:23:00Z,53,Maustetytöt kyllä sopii täydellisesti Kaurismäen elokuvaan.,True
@etikgraphy,2023-05-10T15:22:21Z,4,🥰😥😍 0:31,True
@hatsumomo5067,2023-05-10T12:09:49Z,10,And does anyone knows the name of the beautiful french song in the end?,True
@hatsumomo5067,2023-05-10T12:08:57Z,44,What a cute trailer. I loved it!!!,True
@moeezS,2023-05-10T11:11:01Z,29,This looks lovely!,True
@VernusFilm,2023-05-10T10:38:13Z,11,Tässä ihan herkistyi,True
@Rakib.Islam.E,2023-05-10T09:58:40Z,29,Finger crossed for Palme D'or,True
