author,updated_at,like_count,text,public
@Derrick5240,2024-01-30T14:02:45Z,0,1:00,True
@adriaeverett,2024-01-27T21:41:13Z,0,❤❤❤,True
@MrMaskShort,2024-01-27T06:26:34Z,1,"This film is so cool i like this film

And please Sony make a film of The Amazing Spiderman 3",True
@Namesold69,2024-01-24T15:39:23Z,3,Biggest snub of the 2024 awards season,True
@nick_351,2024-01-12T05:08:58Z,0,"You really wanna know why this movie didn’t perform as good as the first movie?
Spider-Punk: And I annoy fascists every day 😀 
Oh are you referring to true fascists where people don’t talk about it but go across the world to hell to fight real fascism or just fellow neighbors that disagree with you that want the best for you? Yeah that’s what I thought",True
@joshuastandlee3455,2024-01-08T02:34:41Z,6,"The Golden Globes are a joke, this movie didn't win for Best Animated Feature. Someone must have been paid off, this is a travesty.",True
@Gamer-iw5cv,2024-01-07T01:14:31Z,1,Drop trailer for btsv NOW,True
@MrMaxmaxim999,2024-01-05T21:07:41Z,1,"Очередная кино""опера"" аккурат по повесточке. Как неожиданно.",True
@angelicaflores8340,2023-12-28T20:43:08Z,4,It's sooo good!!! PLEASE PLEASE PLEASE come out with a date for the 3rd one 😢 the original date was set for March 2024 but now it's unknown.... 💔 😭 I need a date for 2024,True
@XteenGorgeous,2023-12-27T20:04:53Z,4,"Miles' Mom: ""And he never lets anyone.. Tell him that he doesn't belong there.""

Miguel: ""You're an anomaly! You're not supposed to be spider-man, You're a mistake! You don't belong here."" 

I'm fucking crying 😭",True
@AlynReeves,2023-12-27T02:41:26Z,0,This whole movie looks like it was made by A.I,True
@Everything_Random8,2023-12-26T17:57:56Z,0,Wow.,True
@torstenwetshooteng8700,2023-12-25T20:37:10Z,1,Just finished watching this bruh it's nice...but I was pissed on the to be continued,True
@mercedesjacevedosilva9146,2023-12-25T14:38:54Z,1,In Christmas (2023),True
@mercedesjacevedosilva9146,2023-12-25T14:38:45Z,2,In Spider Man 2: Across The Spider Verse (2023),True
@user-bb6zm1wd1c,2023-12-20T22:05:57Z,0,Amazing,True
@MrGabeanator,2023-12-19T06:32:16Z,0,many things sent me,True
@NefBZA0999,2023-12-18T21:46:48Z,2,It's an Acid trip.. minus the chemicals..,True
@wickedshadesproductions5254,2023-12-17T03:08:37Z,1,"When I first saw this in theaters with my friend, I ran home to hug my parents because I felt like this was happening to us.",True
@futur3anth0ny,2023-12-16T16:35:53Z,2,I doubt I’ll ever see a sequel even better than the original.,True
@the_hughman_spider,2023-12-16T10:27:50Z,3,I’m coming back to this trailer 6 months after the movies release and it still gives me goosebumps.,True
@kieran1990able,2023-12-15T23:02:29Z,1,they fukin cancelled the sequel cuz they couldn't conclude production. What a joke!!! It was going so well and then ...,True
@imjms99,2023-12-14T17:04:10Z,5,1 year ago man time flies 😢,True
@Vincentv406,2023-12-13T22:17:54Z,1,1 year ago today we got the trailer to one of the best Spider-Man movies ever. I wish I could watch this for the first time again,True
@RandomlyWaffle,2023-12-13T21:30:51Z,0,Cant believe today this masterpiece is one years old ❤,True
@abidemionifade2917,2023-12-13T18:27:03Z,0,1 year trailer,True
@brainydude8666,2023-12-13T17:06:12Z,0,"Hard to believe this masterpiece of a trailer came out a year ago. It definitely lived up to the hype and became one of, if not the best spider man movie.",True
@IC2K99lovesBingBong,2023-12-10T23:39:08Z,4,why spiderverse movies are really underrated?,True
@redtreestimeline8960,2023-12-09T16:46:02Z,0,This is honestly the most overrated movie in existence.,True
@joaquintamayo3126,2023-12-07T05:03:32Z,1,This movie was way better than i expected!!!,True
@phuonghongphan491,2023-11-30T04:50:35Z,0,"The Second Trailer Premiered It's In June 3, 2020.",True
@phuonghongphan491,2023-11-30T04:50:06Z,0,"This Trailer Premiered In Dec 7, 2019.",True
@David-xc4we,2023-11-27T07:05:19Z,2,"WITHOUT A DOUBT, THE GREATEST SPIDER-MAN MOVIE!!!",True
@avnish_s,2023-11-25T18:27:26Z,2,Imagine watching this when you're high !,True
@xenianavarro4148,2023-11-25T17:46:10Z,0,Omg I live Spider-Man so much,True
@alejandrosalinascastillo7045,2023-11-22T22:08:24Z,0,"Sería genial si los ""Miles"" intercambiarán lugares, estarían con la persona q más lamentan haber perdido y cuidando lo más preciado del otro.",True
@Abigblueworld,2023-11-22T00:38:29Z,0,I just went wtf is going on this is not my cup of tea with biscuits my head hurts why,True
@freemusiclovers5247,2023-11-17T19:37:07Z,0,"Again the forced integration that no ones needs, a black Spiderman? really? whats next? black batman too?",True
@tobatus,2023-11-16T20:53:03Z,1,one of the best spiders,True
@JSPokemonYT,2023-11-16T01:38:14Z,3,One of the greatest animated movies of all time!,True
@karmauchiha1665,2023-11-15T17:44:30Z,2,1:54,True
@NM-ue8on,2023-11-15T05:37:44Z,0,2:09,True
@princeerosallanacedillo3516,2023-11-13T19:57:29Z,0,you are bad,True
@Dmeachyjr6167,2023-11-13T09:15:10Z,0,And he can go today she will work for her,True
@ASkippingRock,2023-11-11T13:38:31Z,0,This was a really really good movie.,True
@matai2437,2023-11-11T07:29:47Z,0,They brought their A-game artistically on this one pulled off a masterpiece 😊,True
@nashyvan6667,2023-11-11T01:45:29Z,0,This is a crazy helpful message,True
@jackleibiii1411,2023-11-09T17:43:24Z,0,2:08,True
@crashingflamingo3028,2023-11-08T21:22:21Z,0,It's amazing how this trailer does not even scratch the surface when it comes to the awesomeness of this movie.,True
@Retroflow97,2023-11-07T16:23:02Z,2,Miles’s mom speech is so warm & caring ❤,True
@brikkboyz22studiosextra,2023-11-07T09:19:33Z,0,"coming back 10 months later to pause the trailer at a random area and see whether or not it is wallpaper material
Edit: it is",True
@mikedavis8008,2023-11-07T07:50:52Z,1,Yeah no thanks! stop with the race switching white characters lives matter lol # fk woke,True
@phuonghongphan491,2023-11-06T13:59:21Z,1,Please Make More Spider-Man Into The Spider-Verse 4 And 5 And 6 And 7 And 8 Please Please.,True
@phuonghongphan491,2023-11-06T13:54:51Z,0,"The Second Trailer Premiered It's In Apr 8, 2021.",True
@phuonghongphan491,2023-11-06T13:51:37Z,0,"This Trailer Premiered In Oct 11, 2020.",True
@BlackIdentity,2023-11-05T07:42:49Z,0,pésima,True
@isasquietmanchannel2323,2023-11-05T05:13:31Z,0,That speech his mom gives him through out the trailer brought a tear to my eye,True
@aristefansson1589,2023-11-01T15:37:36Z,0,Constantly crossing between all the Spiderverse dimensions confused me like nothing else ever had.,True
@aristefansson1589,2023-11-01T15:35:27Z,1,Does the bullshit in this movie make any more sense at all than psychedelic experience?,True
@danzstuff,2023-10-31T14:54:13Z,0,watching this in theaters was amazing,True
@IC2K99lovesBingBong,2023-10-28T02:23:00Z,1,what happened to second trailer with no subtitles,True
@dawgeez__3246,2023-10-21T16:01:38Z,2,you should  make byond the spider-verse now,True
@DaizGuyofficial,2023-10-21T15:51:31Z,5,Am i the only one who is watching this after the movie,True
@jasonedgar6211,2023-10-21T14:50:03Z,1,The best thing a theater screen has done in a long time.,True
@Dudebrochillman,2023-10-17T00:07:52Z,1,It's so funny how hard they are trying to brainwash women into sleeping with low iQ 🦧,True
@ashishdalabehera4200,2023-10-16T10:41:21Z,1,Miles ki mammi kitni hot h,True
@Gmx92,2023-10-15T10:30:44Z,0,Yo dawg i be bIасk and spiderman yo ain't that off the hook,True
@caocao7925,2023-10-07T08:22:48Z,2,time to watch this movie again for the 6th time,True
@-UnknownValue-,2023-10-07T02:08:41Z,1,devamı ne zaman ?,True
@user-ed5ox7ed8m,2023-10-06T10:36:12Z,0,Bro I watched the full movie but the ending is crazy,True
@zarithayep2968,2023-10-05T05:11:30Z,0,"😭😭😭 love u mom, your advices will never be forgotten",True
@scorpiorising2504,2023-10-02T13:25:34Z,1,"I loved the First one, I watched it when I was a little kid, I'm now 14.

Movie was amazing, Best era had alot of hype. Marvel did amazing here :) I love it. 

I loved how it made the child in me so happy. <3",True
@KISHODIHAN,2023-10-01T12:20:27Z,1,This is so good 👍,True
@thundersaAscam,2023-09-29T18:40:08Z,0,"0:42

0:48

1:55

Just realized that this shot isn’t in the movie 1:59 

2:05

2:08

2:10",True
@goldenmike1813,2023-09-26T03:44:46Z,0,Been a lil while and that beat drop still hits like a truck.,True
@doggo7279,2023-09-24T13:19:38Z,2,This is not a trailer this is a recap,True
@RStone23,2023-09-21T02:39:44Z,0,"It just has to be a White girl, doesn't it?",True
@AMV12S,2023-09-19T12:24:53Z,1,"1:25 wait, so there's two miles morales??",True
@colorguide7047,2023-09-18T14:29:45Z,1,"i prefer every movie must have one best trailer, using more than 1 trailer can reveal more suspenses and some more content in it. I saw this mother's advice scene in theatre for the first time and can feel my goosebumps rising. A person  seeing this trailer first then watching the movie does not get the same effect",True
@MrGabeanator,2023-09-17T03:26:07Z,0,i'll watch it soon,True
@mahayouo5025,2023-09-17T00:20:47Z,1,I hope love this❤,True
@nathanrodriguez1980,2023-09-15T08:10:22Z,1,My top 3 best movie original score/soundtrack producers of all time Spiderman Across the spider verse 2. Han Zimmer interstellar 3. Phil collins tarzan,True
@THEFUNSOCIETY54,2023-09-15T00:58:32Z,1,1:56 hits hard,True
@x.6671,2023-09-14T22:42:04Z,0,What’s the name of the song in the background?,True
@user-bn4ux9ek1v,2023-09-07T17:59:23Z,0,Okay sony.. i can understand spiderman can walk on wall.. but how through shoe?,True
@user-bn4ux9ek1v,2023-09-07T17:57:44Z,1,Gwen a woman.. a woman can’t be a hero.. i know she will cheat miles.. its in women gene.. she will be my first choice.. first collection..,True
@user-bn4ux9ek1v,2023-09-07T17:48:45Z,0,Every spiderman are dangerous.. someone need to kill all these spiderman from every universe.. like grodd started to kill all god.. but.. like grodd i will not loose till i will not kill every spideman from every universe.. for that i should create my own comic series.. a hero who will look for the every superhero who is dangerous for humanity and save world from it.. like spidermen and scarlet witch and star lord and avengers.. avengers who take back everyone and destroy the entire line.. i will have my own collections of dead spiderman.. before he will do something wrong and Kang will find out these on timeline.. need to kill miles moralis,True
@user-bn4ux9ek1v,2023-09-07T17:25:41Z,0,You see how bad the new York education.. he just missed 6 class and he failed.. in our country we attend 5 classes but we pass,True
@user-bn4ux9ek1v,2023-09-07T17:12:19Z,0,And you see how dangerous New York police is.. they are supporting lizard man who was going to kill some kids..this is how if they will support killers this is how their kid will leave him,True
@user-bn4ux9ek1v,2023-09-07T16:53:51Z,0,I always knew miles killed Spiderman intentionally.. he is planning to kill all spiderman and become more powerful.. i also know that baby father spiderman is tobey maguire spiderman.. soon when miles will go to andrew garfield spiderman universe .. every one gonna see tobey maguire real face from cartoon face.. then they will save the world from tom spiderman and miles morales.. bcz tom is killing everyone bcz of his foolest decisions and behaviors..spot was not a killer .. miles made him..spiderman is a hero who kill 1000 to save 1.. and you see what he told to learn.. about dark matter.. he is hidden villain.. you will see next avenger movie to stop dark spiderman.. not dark based on skin color but dark from heart..  avenger dark war.. and its not enough list.. there is flash in dc universe.. superman.. wonderwoman family .. the rokkie police team ..  family guy .. everyone,True
@bangchilly,2023-09-05T19:03:00Z,0,38mio viewss?? Lets go!!,True
@AlyssaMonetMason,2023-09-05T00:59:04Z,0,Antony buy this movie for me now,True
@user-qd7gw8df3c,2023-09-02T10:12:37Z,0,spiderman is black bhahahahahahahaha how boring,True
@Bushdalush,2023-09-01T19:14:07Z,3,Spider-Man is back AND BLACK,True
@halhal-my4pt,2023-08-30T12:23:51Z,2,BLM and Woke impact made Spider-Man Black. This level of conversion and brain wash is worse than religion wash. We have to fight back because these woke virus are going after the kids.,True
@RadJack14,2023-08-30T04:29:49Z,1,I loved this movie every minute it was playing and this trailer is so nostalgic rewatching it because I remember my excitement when this trailer came out,True
@mio5127,2023-08-29T15:22:18Z,0,*teneneneng teneneneneneng dum dumdum dum* iykyk whose sound is this,True
